,id,image,title,label
206,207,img/sadness_207.jpg,Black pug dog isolated on a white background Stock Photo,1
11,12,img/happiness_12.jpg,Image of happy young lady standing isolated over blue background. Looking camera pointing. Stock Photo,0
557,558,img/happiness_558.jpg,Happy Asian woman smiling and  Jumping like running while her looking back at pink copy space background. Stock Photo,0
1403,1404,img/joy_1404.jpg,Cheerful successful man dancing funny making movements winner isolated on pink background. Funny man in pink formal suit celebrates his success having fun at copy space. Full length. Banner. Stock Photo,0
239,240,img/sadness_240.jpg,Coronavirus COVID-19 impact on retail businesses shut down causing unemployment financial distress. Depressed crying business woman stressed with headache. Stock Photo,1
1341,1342,img/sadness_1342.jpg,Asian beautiful depression girl crying in tears sit on bed in bedroom. Attractive unhappy young woman feeling sad lonely and upset with life problem and hold tissue on hands in dark night room at home Stock Photo,1
294,295,img/happiness_295.jpg,Image of Asian child posing on blue background Stock Photo,0
377,378,img/happiness_378.jpg,"Charming woman with beautiful smile reading good news on mobile phone during rest in coffee shop, happy Caucasian female watching her photos on cell telephone while relaxing in cafe during free time  Stock Photo",0
1291,1292,img/sadness_1292.jpg,"Mother consoling her little son on his first day of school,sitting on stair and saying goodbye before school. Stock Photo",1
786,787,img/sadness_787.jpg,"Business problems with work, clients. Debt, loan, mortgage issues, divorce document. Caucasian sad angry shocked businessman lawyer boss ceo doing paperwork in office Stock Photo",1
409,410,img/depression_410.jpg,"Upset young man drinker alcoholic sitting at bar counter with glass drinking whiskey alone, sad depressed addicted drunk guy having problem suffer from alcohol addiction abuse, alcoholism concept Stock Photo",1
219,220,img/sadness_220.jpg,"Customer feedback and satisfaction conceptual image - male hand drawing happy, sad and neutral faces over yellow background. Stock Photo",1
1068,1069,img/joy_1069.jpg,"Portrait of young woman with curly hair in the city
 Stock Photo",0
1185,1186,img/depression_1186.jpg,Sad woman sitting on bench outdoors Stock Photo,1
629,630,img/joy_630.jpg,Cheerful little african american daughter sitting on back seat of car looking at mother from mirror while travelling. Young fun woman with cheerful female kid enjoying road trip.  Traveling in car. Stock Photo,0
1310,1311,img/joy_1311.jpg,Man jump through the gap. Element of design. Stock Photo,0
605,606,img/joy_606.jpg,Funny cheerful businessman jumping in air over gray background Stock Photo,0
471,472,img/joy_472.jpg,happy asian family with two children walking on pedestrian bridge in city park Stock Photo,0
606,607,img/happiness_607.jpg,"Two young people smiling at the camera and standing together, holding a purple credit card. Male and female credit card holders enjoy electronic banking on their student bank accounts. Stock Photo",0
293,294,img/sadness_294.jpg,Young handsome asian man wearing white t-shirt standing over isolated red background with hand on head for pain in head because stress. Suffering migraine. Stock Photo,1
626,627,img/sadness_627.jpg,Close-up of a sad and depressed woman deep in thought outdoors. Stock Photo,1
526,527,img/happiness_527.jpg,"Smiling bearded young male model rejoices coming weekends, dressed casually, isolated over white background. Positive pleased student being in good mood after successfully passed exams at college Stock Photo",0
712,713,img/depression_713.jpg,"Young man comforting his sad wife, touching her shoulder. Man trying to make his young sad wife laugh. Despair, Stress, depression, depression, anxiety, family problems, divorce and frustration concep Stock Photo",1
459,460,img/happiness_460.jpg,french bulldog with a  champagne glass and victory or peace fingers Stock Photo,0
